timestamp,ph,turb,temp,gas
2026-05-17T16:28:04.929Z,945,624.8,29.288,461
2026-05-17T16:28:05.931Z,950.2,627.2,29.426,468.6
2026-05-17T16:28:06.932Z,955.2,630,29.564,476.6
2026-05-17T16:28:07.934Z,960.6,632.8,29.69,484.6
2026-05-17T16:28:08.935Z,961.4,633.6,29.676,484.4
2026-05-17T16:28:09.937Z,962.6,634.2,29.662,484.2
2026-05-17T16:28:10.939Z,963.6,634.8,29.662,484.2
2026-05-17T16:28:11.940Z,964.6,635.2,29.662,483.8
2026-05-17T16:28:12.942Z,965.6,635.8,29.662,483.4
2026-05-17T16:28:13.943Z,967.4,636,29.662,483.4
2026-05-17T16:28:14.945Z,968.8,636.2,29.676,483.6
2026-05-17T16:28:15.946Z,970.2,636.2,29.676,484.2
2026-05-17T16:28:16.949Z,971.8,636,29.676,484.6
2026-05-17T16:28:17.950Z,972.6,635.4,29.676,484.8
2026-05-17T16:28:18.951Z,973,635,29.676,485
2026-05-17T16:28:19.953Z,973.4,634.4,29.676,484.8
2026-05-17T16:28:20.954Z,973.4,633.6,29.676,484.4
2026-05-17T16:28:21.956Z,973.2,633,29.676,484.2
2026-05-17T16:28:22.957Z,973.8,632.6,29.676,484.2
2026-05-17T16:28:23.959Z,973.8,632.2,29.69,484.2
2026-05-17T16:28:24.960Z,973.8,631.8,29.676,484.4
2026-05-17T16:28:25.962Z,974.2,631.4,29.676,484.6
2026-05-17T16:28:26.964Z,974.6,631,29.676,484.8
2026-05-17T16:28:27.965Z,974.6,630.6,29.676,484.8
2026-05-17T16:28:28.967Z,975.2,630.4,29.676,484.6
2026-05-17T16:28:29.968Z,975.6,630.4,29.676,484.2
2026-05-17T16:28:30.970Z,976,630.6,29.676,483.8
2026-05-17T16:28:31.971Z,976.2,630.8,29.676,483.2
2026-05-17T16:28:32.973Z,976.6,631,29.662,482.8
2026-05-17T16:28:33.975Z,976.6,631,29.662,482.4
